科目名, 分野, K-Number
体育２～５(ゴルフ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(リズミックトレーニング（ダンス）), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(フェンシング), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(フェンシング), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(アーチェリー), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(ソフトコース), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(アーチェリー), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(ヨガ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(こころのエクササイズ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(気功), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(クラシックバレエ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(スカッシュ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(剣道), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(体操), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(トレーニング), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(空手), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(ゴルフ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(水泳), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(バドミントン), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(水泳), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(フィットネスプログラム), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(ソフトテニス), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(フットサル), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(ユニバーサルスポーツ), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(ピラティス), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(ソフトコース), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(トランポリン), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
体育２～５(トレーニング), 基盤科目-ウェルネス科目, FPE-CO-03243-411-59
物理・化学基礎, 基盤科目-共通科目, FPE-CO-03303-211-87
未来構想ワークショップ, 基盤科目-共通科目, FPE-CO-03303-211-88
新事業創造ワークショップ, 基盤科目-共通科目, FPE-CO-03303-211-86
政策デザインワークショップ(GIGA/GG/GI), 基盤科目-共通科目, FPE-CO-03303-212-08
ゲノム解析ワークショップ(TTCK), 基盤科目-共通科目, FPE-CO-03303-211-43
オーラルヒストリーワークショップ, 基盤科目-共通科目, FPE-CO-03303-211-89
多言語コミュニケーション実践, 基盤科目-共通科目, FPE-CO-03303-311-02
対人コミュニケーション実践, 基盤科目-共通科目, FPE-CO-03303-211-10
アカデミックプレゼンテーション実践(GIGA/GG/GI)/英語コンテンツ, 基盤科目-共通科目, FPE-CO-03303-212-89
多文化コミュニケーション(GIGA/GG/GI), 基盤科目-共通科目, FPE-CO-03303-212-85
ネットワークコミュニケーション実践, 基盤科目-共通科目, FPE-CO-03303-211-86
デジタルデザイン基礎, 基盤科目-共通科目, FPE-CO-03303-211-23
公共政策, 基盤科目-共通科目, FPE-CO-03303-211-06
リーガルマインド, 基盤科目-共通科目, FPE-CO-03303-211-05
スポーツビジネス, 基盤科目-共通科目, FPE-CO-03303-211-07
グローバルガバナンス, 基盤科目-共通科目, FPE-CO-03303-211-88
都市と建築の歴史, 基盤科目-共通科目, FPE-CO-03303-231-23
地球環境技術論(GIGA/GG/GI)/地球環境技術論, 基盤科目-共通科目, FPE-CO-03303-222-04
モノ創りの科学, 基盤科目-共通科目, FPE-CO-03303-211-83
インターネット, 基盤科目-共通科目, FPE-CO-03302-221-60
身体知論, 基盤科目-共通科目, FPE-CO-03303-211-88
デザイン言語総合講座【学期前半】, 基盤科目-共通科目, FPE-CO-03303-311-01
ソーシャルビジネスプラニング【学期後半】, 基盤科目-共通科目, FPE-CO-03303-211-07
経営戦略【学期前半】, 基盤科目-共通科目, FPE-CO-03303-211-07
マーケティング戦略【学期後半】, 基盤科目-共通科目, FPE-CO-03303-211-07
パブリックリレーションズ戦略, 基盤科目-共通科目, FPE-CO-03303-211-07
リーダーシップ論, 基盤科目-共通科目, FPE-CO-03303-211-07
プレゼンテーション技法【学期前半】, 基盤科目-共通科目, FPE-CO-03303-211-07
アカデミックライティング, 基盤科目-共通科目, FPE-CO-03303-211-89
立法技術論, 基盤科目-共通科目, FPE-CO-03303-211-05
政策法務論, 基盤科目-共通科目, FPE-CO-03303-211-05
経営分析, 基盤科目-共通科目, FPE-CO-03303-211-07
ライフキャリア論, 基盤科目-共通科目, FPE-CO-03303-211-07
意思決定能力の開発, 基盤科目-共通科目, FPE-CO-03303-211-07
非営利組織インターンシップ, 基盤科目-共通科目, FPE-CO-03303-211-07
社会起業インターンシップ, 基盤科目-共通科目, FPE-CO-03303-211-07
パターンランゲージ【学期前半】, 基盤科目-共通科目, FPE-CO-03303-211-88
コンピュータミュージック１, 基盤科目-共通科目, FPE-CO-03303-311-88
プログラミング方法論, 基盤科目-共通科目, FPE-CO-03303-211-60
モノ創り実験工房, 基盤科目-共通科目, FPE-CO-03303-211-20
電子工作, 基盤科目-共通科目, FPE-CO-03303-211-21
デザイン観察基礎【学期前半】, 基盤科目-共通科目, FPE-CO-03303-311-01
質的調査法【学期前半】, 基盤科目-共通科目, FPE-CO-03303-211-08
フィールドワーク法, 基盤科目-共通科目, FPE-CO-03303-211-08
資料検索法, 基盤科目-共通科目, FPE-CO-03303-221-89
論理学, 基盤科目-共通科目, FPE-CO-03303-211-60
創造社会論【学期後半】(GIGA/GG/GI), 基盤科目-共通科目, FPE-CO-03303-212-08
創造社会論【学期前半】, 基盤科目-共通科目, FPE-CO-03303-211-08
身体論, 基盤科目-共通科目, FPE-CO-03303-211-10
日本の近現代, 基盤科目-共通科目, FPE-CO-03303-221-03
法律学, 基盤科目-共通科目, FPE-CO-03303-211-05
イスラームと現代社会, 基盤科目-共通科目, FPE-CO-03303-221-85
脳と行動, 基盤科目-共通科目, FPE-CO-03303-221-51
感覚の生理と心理【学期後半】, 基盤科目-共通科目, FPE-CO-03303-211-46
パーソナリティ発達論, 基盤科目-共通科目, FPE-CO-03303-211-10
ソフトウェアアーキテクチャ(GIGA/GG/GI), 基盤科目-共通科目, FPE-CO-03303-212-60
ユビキタスシステムアーキテクチャ, 基盤科目-共通科目, FPE-CO-03303-211-60
認知学習論, 基盤科目-共通科目, FPE-CO-03303-211-10
生命システム, 基盤科目-共通科目, FPE-CO-03303-221-43
代謝の基礎生物学, 基盤科目-共通科目, FPE-CO-03303-221-43
基礎分子生物学１(GIGA/GG/GI), 基盤科目-共通科目, FPE-CO-03303-332-43
基礎分子生物学１【学期前半】, 基盤科目-共通科目, FPE-CO-03303-211-43
基礎分子生物学２(GIGA/GG/GI), 基盤科目-共通科目, FPE-CO-03303-332-43
基礎分子生物学２【学期後半】, 基盤科目-共通科目, FPE-CO-03303-211-43
日本の行政機構, 基盤科目-共通科目, FPE-CO-03303-221-06
パーソナルプレイスデザイン【学期後半】, 基盤科目-共通科目, FPE-CO-03303-211-01
公共哲学, 基盤科目-共通科目, FPE-CO-03303-221-06
現代アート概論【学期前半】, 基盤科目-共通科目, FPE-CO-03303-221-01
建築ＣＡＤ入門【学期前半】, 基盤科目-共通科目, FPE-CO-03303-211-23
精神医学と精神分析, 基盤科目-共通科目, FPE-CO-03303-211-10
歴史と文明, 先端科目-総合政策系, FPE-CO-04003-211-86
パブリックマネジメント【学期前半】, 先端科目-総合政策系, FPE-CO-04003-221-06
社会保障政策（医療・介護）, 先端科目-総合政策系, FPE-CO-04003-211-06
社会安全政策（治安）, 先端科目-総合政策系, FPE-CO-04003-211-86
社会安全政策（防災）(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-212-88
社会安全政策（防災）【学期後半】, 先端科目-総合政策系, FPE-CO-04003-211-88
現代社会理論, 先端科目-総合政策系, FPE-CO-04003-221-08
リスク社会の制度設計【学期後半】(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-212-06
都市システム論, 先端科目-総合政策系, FPE-CO-04003-211-88
地域政策, 先端科目-総合政策系, FPE-CO-04003-311-86
都市計画とまちづくり(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-212-23
社会的組織の経営（ミュージアム）【学期後半】, 先端科目-総合政策系, FPE-CO-04003-211-07
ソーシャルマーケティング【学期前半】, 先端科目-総合政策系, FPE-CO-04003-211-07
コミュニティインベストメント【学期後半】, 先端科目-総合政策系, FPE-CO-04003-211-07
ネットワーク産業論【学期前半】(GIGA/GG)/ネットワーク産業論【学期前半】, 先端科目-総合政策系, FPE-CO-04003-212-07
ネットワーク産業論【学期後半】, 先端科目-総合政策系, FPE-CO-04003-211-07
ネットワーク社会論【学期後半】, 先端科目-総合政策系, FPE-CO-04003-211-08
環境政策, 先端科目-総合政策系, FPE-CO-04003-211-64
エビデンスに基づく健康政策とコミュニケーション【学期前半】, 先端科目-総合政策系, FPE-CO-04003-211-08
エビデンスに基づく健康政策とコミュニケーション(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-312-86
現代政治論, 先端科目-総合政策系, FPE-CO-04003-211-06
地方自治論, 先端科目-総合政策系, FPE-CO-04003-211-06
憲法（人権）, 先端科目-総合政策系, FPE-CO-04003-211-05
憲法（統治）, 先端科目-総合政策系, FPE-CO-04003-211-05
企業法（会社法）, 先端科目-総合政策系, FPE-CO-04003-211-05
企業法（ベンチャー関連法）, 先端科目-総合政策系, FPE-CO-04002-211-05
行政法, 先端科目-総合政策系, FPE-CO-04003-211-05
実験・行動経済演習(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-312-86
ミクロ経済１, 先端科目-総合政策系, FPE-CO-04003-211-07
ミクロ経済２【学期後半】(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-222-07
マクロ経済１(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-222-07
計量経済学(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-212-07
現代金融論, 先端科目-総合政策系, FPE-CO-04003-211-07
民法演習, 先端科目-総合政策系, FPE-CO-04003-211-05
公共選択論, 先端科目-総合政策系, FPE-CO-04003-221-06
リスクと保険, 先端科目-総合政策系, FPE-CO-04003-211-07
安全保障と国際紛争【学期後半】, 先端科目-総合政策系, FPE-CO-04003-211-86
国際環境論(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-212-04
日独社会研究（ドイツ語圏）/ドイツ語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-229-88
文化論（ドイツ語圏）/ドイツ語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-88
地域論（ドイツ語圏）/ドイツ語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-85
社会論（フランス語圏）/フランス語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-86
言語教育実践論（中国語圏）/中国語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-211-02
地域と文化（スペイン語圏）/スペイン語コンテンツ, 先端科目-総合政策系, FPE-CO-04003-219-88
国際法【学期前半】, 先端科目-総合政策系, FPE-CO-04003-211-05
日本研究概論２, 先端科目-総合政策系, FPE-CO-04003-211-86
地域と社会（アジア・大洋州）, 先端科目-総合政策系, FPE-CO-04003-211-86
地域と社会（アジア・大洋州）, 先端科目-総合政策系, FPE-CO-04003-211-86
地域と社会（欧州・ＣＩＳ）, 先端科目-総合政策系, FPE-CO-04003-211-86
地域と文化（欧州・ＣＩＳ）, 先端科目-総合政策系, FPE-CO-04003-211-01
地域と文化（米州）, 先端科目-総合政策系, FPE-CO-04003-211-88
アジア・大洋州地域論, 先端科目-総合政策系, FPE-CO-04003-211-86
インドネシア地域論, 先端科目-総合政策系, FPE-CO-04002-211-88
開発とローカリズム(GIGA/GG)/開発とローカリズム, 先端科目-総合政策系, FPE-CO-04003-212-88
多文化社会論, 先端科目-総合政策系, FPE-CO-04003-211-85
比較体制論, 先端科目-総合政策系, FPE-CO-04003-211-86
応用臨床心理, 先端科目-総合政策系, FPE-CO-04003-211-10
政治哲学（近代）, 先端科目-総合政策系, FPE-CO-04003-211-01
国家と防衛, 先端科目-総合政策系, FPE-CO-04003-211-86
民法（総則・物権）, 先端科目-総合政策系, FPE-CO-04003-211-05
民法（親族・相続）, 先端科目-総合政策系, FPE-CO-04003-211-05
地域と社会（中東）(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-212-86
ポリシーマネジメント（開発とヒューマンセキュリティ）(GIGA/GG)/ポリシーマネジメント（開発とヒューマンセキュリティ）, 先端科目-総合政策系, FPE-CO-04003-212-86
日米関係史【学期前半】(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-212-86
科学倫理【学期前半】(GIGA/GG)/科学倫理【学期前半】, 先端科目-総合政策系, FPE-CO-04003-212-86
第二言語習得論, 先端科目-総合政策系, FPE-CO-04003-211-02
社会科学のための計量分析(GIGA/GG), 先端科目-総合政策系, FPE-CO-04003-212-89
地域と文化（アラビア語圏）, 先端科目-総合政策系, FPE-CO-04003-211-85
都市と環境, 先端科目-環境情報系, FPE-CO-04103-231-88
エコロジカルデザイン【学期後半】, 先端科目-環境情報系, FPE-CO-04103-211-64
生活環境論(GIGA/GI), 先端科目-環境情報系, FPE-CO-04103-212-85
生態学フィールド調査法【学期前半】, 先端科目-環境情報系, FPE-CO-04103-411-63
地球環境概論, 先端科目-環境情報系, FPE-CO-04103-211-04
地球システム設計論【学期後半】, 先端科目-環境情報系, FPE-CO-04103-211-01
デザインスタジオ（住まいと環境）, 先端科目-環境情報系, FPE-CO-04103-311-23
デザインスタジオ（自然と建築）, 先端科目-環境情報系, FPE-CO-04103-311-23
建築設計と環境デザイン【学期後半】(GIGA/GI), 先端科目-環境情報系, FPE-CO-04102-222-23
建築構法論, 先端科目-環境情報系, FPE-CO-04103-211-88
アーバンルーラルリデザイン【学期前半】(GIGA/GI), 先端科目-環境情報系, FPE-CO-04103-212-23
スポーツコミュニケーション, 先端科目-環境情報系, FPE-CO-04103-211-86
スポーツ科学【学期前半】(GIGA/GI), 先端科目-環境情報系, FPE-CO-04103-212-59
脳情報科学, 先端科目-環境情報系, FPE-CO-04103-211-51
言語と思考, 先端科目-環境情報系, FPE-CO-04103-211-85
遺伝子工学実習(TTCK), 先端科目-環境情報系, FPE-CO-04102-211-43
基礎分析化学(TTCK)【学期前半】, 先端科目-環境情報系, FPE-CO-04103-221-43
基礎生化学(TTCK)【学期後半】, 先端科目-環境情報系, FPE-CO-04102-211-43
身体運動解析, 先端科目-環境情報系, FPE-CO-04103-211-90
語彙意味論(GIGA/GI)/語彙意味論, 先端科目-環境情報系, FPE-CO-04103-212-02
生命分子機能(TTCK), 先端科目-環境情報系, FPE-CO-04103-211-43
ゲノム分子生物学１(TTCK), 先端科目-環境情報系, FPE-CO-04103-221-43
システムプログラミング【学期後半】(GIGA/GI), 先端科目-環境情報系, FPE-CO-04103-212-60
スマートデバイスプログラミング, 先端科目-環境情報系, FPE-CO-04103-211-60
デザインとプログラミング, 先端科目-環境情報系, FPE-CO-04103-311-60
コンピュータアーキテクチャ【学期後半】, 先端科目-環境情報系, FPE-CO-04103-211-60
オペレーティングシステム【学期前半】(GIGA/GI), 先端科目-環境情報系, FPE-CO-04103-212-60
オペレーティングシステム【学期前半】, 先端科目-環境情報系, FPE-CO-04103-211-60
大規模データ処理法(GIGA/GI), 先端科目-環境情報系, FPE-CO-04103-212-60
情報と倫理, 先端科目-環境情報系, FPE-CO-04103-211-88
インタフェース設計論(GIGA/GI), 先端科目-環境情報系, FPE-CO-04102-212-60
モバイルネットワーク論, 先端科目-環境情報系, FPE-CO-04103-211-60
情報セキュリティマネジメント, 先端科目-環境情報系, FPE-CO-04103-211-86
Ｗｅｂ情報システム構成法, 先端科目-環境情報系, FPE-CO-04103-211-60
リフレクティブデザイン【学期前半】, 先端科目-環境情報系, FPE-CO-04103-211-08
デジタルファブリケーション【学期後半】, 先端科目-環境情報系, FPE-CO-04103-211-18
コンピュテーショナルデザイン/デザイン戦略（ビジュアライゼーション）, 先端科目-環境情報系, FPE-CO-04103-221-60
音楽と脳【学期後半】, 先端科目-環境情報系, FPE-CO-04103-211-88
フォレスト・サイエンス・アンド・エンジニアリング（上流）(GIGA/GI), 先端科目-環境情報系, FPE-CO-04103-222-88
フォレスト・サイエンス・アンド・エンジニアリング（下流）, 先端科目-環境情報系, FPE-CO-04103-211-88
地球システムＡ【学期前半】, 先端科目-環境情報系, FPE-CO-04103-211-17
地球システムＢ【学期後半】, 先端科目-環境情報系, FPE-CO-04103-211-17
総合技術論(TTCK), 他学部等設置科目, FPE-CO-06203-211-83
基礎生態学(TTCK), 他学部等設置科目, FPE-CO-06203-211-45
遺伝学(TTCK), 他学部等設置科目, FPE-CO-06203-211-43
微生物学(TTCK), 他学部等設置科目, FPE-CO-06203-211-44
グローバル・エコシステムと生物学的多様性の視点から見たサステナビリティー(ICU), 他学部等設置科目, FPE-CO-06203-221-87
山形文化論(TTCK), 特設科目, FPE-CO-06103-911-04
環境ヘルスサイエンス【学期前半】, 特設科目, FPE-CO-06102-211-10
うた, 特設科目, FPE-CO-06103-211-01
リーダーシップ開発のためのコーチング, 特設科目, FPE-CO-06103-221-59
国内フィールドワークＡ, 特設科目, FPE-CO-06103-412-89
国内フィールドワークＢ, 特設科目, FPE-CO-06103-412-89
スチューデントビルドキャンパス（ＳＢＣ）入門【学期前半】, 特設科目, FPE-CO-06103-211-23
データ・ドリブン社会の創発と戦略, 特設科目, FPE-CO-06103-211-60
データ・ドリブン社会の創発と戦略（応用）, 特設科目, FPE-CO-06103-211-60
働くこととジェンダー, 特設科目, FPE-CO-06103-211-07
労働法, 特設科目, FPE-CO-06103-211-05
ソフトウェア技術を利用した創造的サービス構築論（基礎）(寄附講座), 特設科目, FPE-CO-06103-211-60
極域における環境問題【学期前半】(GIGA), 特設科目, FPE-CO-06102-212-45
インドの文化、環境と技術(GIGA), 特設科目, FPE-CO-06102-222-08
ミクロな世界の生態学【学期前半】, 特設科目, FPE-CO-06103-211-45
メディアアート実践, 特設科目, FPE-CO-06103-211-01
スチューデントビルドキャンパス（ＳＢＣ）実践（ランドスケープ）【学期前半】, 特設科目, FPE-CO-06103-311-23
建築メディア論, 特設科目, FPE-CO-06103-211-23
コンテクストデザイン【学期前半】, 特設科目, FPE-CO-06103-221-88
知識編纂の技法－１【学期後半】, 特設科目, FPE-CO-06103-211-89
環境とエネルギーの経済学【学期前半】(GIGA), 特設科目, FPE-CO-06102-222-07
不動産デザイン１(寄附講座), 特設科目, FPE-CO-06103-211-87
生と命の多角的理解, 特設科目, FPE-CO-06102-211-87
サイバーセキュリティの攻撃と防御(寄附講座), 特設科目, FPE-CO-06102-211-60
デジタルヘルスケア分野のアーキテクチャ構築(寄附講座), 特設科目, FPE-CO-06102-211-62
海洋安全保障と海上法執行, 特設科目, FPE-CO-06102-211-06
実践演習：ビジネスモデル分析(寄附講座), 特設科目, FPE-CO-06103-311-07
概念構築（フィールドワーク論）, 研究支援科目, GMG-MG-67003-211-89
概念構築（ヒューマンセキュリティ）, 研究支援科目, GMG-MG-67003-212-86
概念構築（ＣＢ）【学期前半】, 研究支援科目, GMG-MG-67003-221-89
概念構築（ＣＩ）, 研究支援科目, GMG-MG-67003-212-60
概念構築（ＢＩ）, 研究支援科目, GMG-MG-67003-211-43
概念構築（コミュニケーション）, 研究支援科目, GMG-MG-67003-211-01
先端研究（ケースメソッド）, 研究支援科目, GMG-MG-67013-221-89
先端研究（ＣＢ）【学期後半】, 研究支援科目, GMG-MG-67013-211-87
先端研究（ＥＧ１）, 研究支援科目, GMG-MG-67013-212-04
先端研究（ＣＩ）, 研究支援科目, GMG-MG-67013-212-60
先端研究ワークショップ（ＸＤ１）/先端研究ワークショップ（ＸＤ２）/先端研究ワークショップ（ＸＤ３）/先端研究ワークショップ（ＸＤ４）, 研究支援科目, GMG-MG-67013-311-88
グローバル・ガバナンス研究（グローバル・ガバナンスの視点）, プログラム科目, GMG-MG-67103-212-86
地域戦略研究（北東アジア）, プログラム科目, GMG-MG-67103-222-86
地域戦略研究（欧州）, プログラム科目, GMG-MG-67103-211-86
言語教育デザイン論, プログラム科目, GMG-MG-67103-311-88
ファイナンス理論, プログラム科目, GMG-MG-67103-211-07
日本のビジネス, プログラム科目, GMG-MG-67103-221-07
経営戦略特論【学期前半】, プログラム科目, GMG-MG-67103-312-07
ポリシーマネジメント（政策形成とソーシャルイノベーション）【学期後半】, プログラム科目, GMG-MG-67103-212-88
行政組織の経営【学期後半】, プログラム科目, GMG-MG-67103-211-06
地域情報化論, プログラム科目, GMG-MG-67103-211-08
ソーシャルファイナンス【学期後半】, プログラム科目, GMG-MG-67103-211-07
キャリア開発演習, プログラム科目, GMG-MG-67103-211-07
都市政策, プログラム科目, GMG-MG-67103-211-23
デジタルアース論, プログラム科目, GMG-MG-67103-212-04
応用環境デザイン（都市環境のデザイン）, プログラム科目, GMG-MG-67103-211-23
環境空間論【学期後半】, プログラム科目, GMG-MG-67103-221-23
建築環境制御論【学期後半】, プログラム科目, GMG-MG-67103-221-23
建築技術論【学期前半】, プログラム科目, GMG-MG-67103-211-23
構造のデザイン【学期後半】, プログラム科目, GMG-MG-67103-221-23
エネルギー政策分析, プログラム科目, GMG-MG-67103-211-86
都市空間の構成, プログラム科目, GMG-MG-67103-231-23
システムソフトウェア, プログラム科目, GMG-MG-67103-212-60
情報セキュリティ論, プログラム科目, GMG-MG-67103-211-88
生命分子ネットワーク(TTCK), プログラム科目, GMG-MG-67103-211-90
フィールドワークＡ, プログラム科目, 
高齢社会デザイン論【学期後半】, プログラム科目, GMG-MG-67103-211-58
環境測定演習, プログラム科目, GMG-MG-67103-212-64
インターンシップＡ, プログラム科目, GMG-MG-67103-411-88
バイオメカニクス・動作解析, プログラム科目, GMG-MG-67103-211-59
老年医学・老年学【学期後半】, プログラム科目, GMG-MG-67103-211-59
ヘルスケアシステムデザイン概論【学期前半】, プログラム科目, GMG-MG-67103-211-80
個益・公益のデザイン, プログラム科目, GMG-MG-67103-221-86
経済・ファイナンスのデータサイエンス[DS2]/時系列解析法, 基盤科目-データサイエンス科目-データサイエンス２, FPE-CO-03022-211-07
地球環境技術論(GIGA/GG/GI)/地球環境技術論, 基盤科目-共通科目, FPE-CO-03303-222-04
パブリックマネジメント【学期前半】, 先端科目-総合政策系, FPE-CO-04003-221-06
社会保障政策（医療・介護）, 先端科目-総合政策系, FPE-CO-04003-211-06
ソーシャルマーケティング【学期前半】, 先端科目-総合政策系, FPE-CO-04003-211-07
ネットワーク産業論【学期前半】(GIGA/GG)/ネットワーク産業論【学期前半】, 先端科目-総合政策系, FPE-CO-04003-212-07
ネットワーク産業論【学期後半】, 先端科目-総合政策系, FPE-CO-04003-211-07
公共選択論, 先端科目-総合政策系, FPE-CO-04003-221-06
リスクと保険, 先端科目-総合政策系, FPE-CO-04003-211-07
開発とローカリズム(GIGA/GG)/開発とローカリズム, 先端科目-総合政策系, FPE-CO-04003-212-88
ポリシーマネジメント（開発とヒューマンセキュリティ）(GIGA/GG)/ポリシーマネジメント（開発とヒューマンセキュリティ）, 先端科目-総合政策系, FPE-CO-04003-212-86
科学倫理【学期前半】(GIGA/GG)/科学倫理【学期前半】, 先端科目-総合政策系, FPE-CO-04003-212-86
第二言語習得論, 先端科目-総合政策系, FPE-CO-04003-211-02
語彙意味論(GIGA/GI)/語彙意味論, 先端科目-環境情報系, FPE-CO-04103-212-02
コンピュテーショナルデザイン/デザイン戦略（ビジュアライゼーション）, 先端科目-環境情報系, FPE-CO-04103-221-60
地球システムＡ【学期前半】, 先端科目-環境情報系, FPE-CO-04103-211-17
地球システムＢ【学期後半】, 先端科目-環境情報系, FPE-CO-04103-211-17
生命進化の特異点, プログラム科目, GMG-MG-67103-211-48
アカデミックプロジェクトネットワークコミュニティ２, プロジェクト科目, GMG-MG-67203-621-86
アカデミックプロジェクトNEURO, プロジェクト科目, GMG-MG-67203-621-46
アカデミックプロジェクトモバイル・メソッド（セオリー）, プロジェクト科目, GMG-MG-67203-621-86
アカデミックプロジェクト社会的共有価値の創造, プロジェクト科目, GMG-MG-67203-621-88
アカデミックプロジェクトHCIRemixed, プロジェクト科目, GMG-MG-67203-631-88
アカデミックプロジェクトInternetTechnology, プロジェクト科目, GMG-MG-67203-611-88
アカデミックプロジェクトInternetCivilization, プロジェクト科目, GMG-MG-67203-611-88
アカデミックプロジェクトリーガル・プラクティス, プロジェクト科目, GMG-MG-67203-621-86
アカデミックプロジェクト日常のなかの創造, プロジェクト科目, GMG-MG-67203-611-88
アカデミックプロジェクト芸術と科学, プロジェクト科目, GMG-MG-67203-611-88
アカデミックプロジェクト建築領域の拡張と融合, プロジェクト科目, GMG-MG-67203-621-23
アカデミックプロジェクト知覚と心理, プロジェクト科目, GMG-MG-67203-611-10
アカデミックプロジェクト学際日本研究, プロジェクト科目, GMG-MG-67203-611-88
アカデミックプロジェクト先端生命科学Ｂ, プロジェクト科目, GMG-MG-67203-621-44
アカデミックプロジェクト地域研究から見るグローバル・ガバナンス, プロジェクト科目, GMG-MG-67203-611-86
アカデミックプロジェクト先端生命科学Ａ, プロジェクト科目, GMG-MG-67203-621-44
アカデミックプロジェクトモバイル・メソッド（プラクティス）, プロジェクト科目, GMG-MG-67203-621-08
アカデミックプロジェクト現代社会・文化への人文学的アプローチ, プロジェクト科目, GMG-MG-67203-621-85
アカデミックプロジェクトチャイナ・パースペクティブ, プロジェクト科目, GMG-MG-67203-611-86
アカデミックプロジェクト知的都市創造, プロジェクト科目, GMG-MG-67203-621-88
アカデミックプロジェクトグリーンインフラストラクチャーと生態系サ, プロジェクト科目, GMG-MG-67203-612-88
アカデミックプロジェクトコリアン・スタディーズ, プロジェクト科目, GMG-MG-67203-619-86
アカデミックプロジェクトプラットフォームとイノベーション, プロジェクト科目, GMG-MG-67203-611-86
アカデミックプロジェクトソフトウェアシステム, プロジェクト科目, GMG-MG-67203-611-88
アカデミックプロジェクト生活世界と公共性, プロジェクト科目, GMG-MG-67203-611-86
アカデミックプロジェクト安全保障２, プロジェクト科目, GMG-MG-67203-611-86
アカデミックプロジェクト安全保障１, プロジェクト科目, GMG-MG-67203-611-86
アカデミックプロジェクトこころの健康・臨床心理プロジェクト, プロジェクト科目, GMG-MG-67203-611-10
アカデミックプロジェクトスマートモビリティ（技術）, プロジェクト科目, GMG-MG-67203-611-87
アカデミックプロジェクトスマートモビリティ（社会）, プロジェクト科目, GMG-MG-67203-612-88
アカデミックプロジェクトネットワークコミュニティ１, プロジェクト科目, GMG-MG-67203-621-86
アカデミックプロジェクト発達と学習の認知メカニズム, プロジェクト科目, GMG-MG-67203-611-86
アカデミックプロジェクト経験の学, プロジェクト科目, GMG-MG-67203-621-86
アカデミックプロジェクトxSDG, プロジェクト科目, GMG-MG-67203-611-88
アカデミックプロジェクトメディアとコミュニケーションの法政策, プロジェクト科目, GMG-MG-67203-611-86
アカデミックプロジェクトグローバルガバナンスとリージョナルストラ, プロジェクト科目, GMG-MG-67203-621-86
アカデミックプロジェクトグローバルガバナンスとリージョナルストラ, プロジェクト科目, GMG-MG-67203-611-86
アカデミックプロジェクト言語と思考のアーキテクチャ, プロジェクト科目, GMG-MG-67203-621-02
アカデミックプロジェクト第二言語習得と外国語教育の科学, プロジェクト科目, GMG-MG-67203-621-02
アカデミックプロジェクトスポーツサイエンス, プロジェクト科目, GMG-MG-67203-621-59
